,title,text,label
0,The national weather service issued a routine advisory ahead,"The national weather service issued a routine advisory ahead of the seasonal storm, urging residents to review evacuation routes.",REAL
1,The city council voted 6-2 to approve funding for a new publ,The city council voted 6-2 to approve funding for a new public transit line connecting the downtown area to the eastern suburbs.,REAL
2,A newly released census report indicates gradual population ,A newly released census report indicates gradual population growth in suburban counties over the last decade.,REAL
3,Social media posts falsely allege that a common vegetable wa,Social media posts falsely allege that a common vegetable was found to instantly reverse blindness in lab tests.,FAKE
4,A viral post claims eating this fruit before bed makes you i,"A viral post claims eating this fruit before bed makes you immune to every virus known to science, doctors hate it.",FAKE
5,Leaked memo supposedly shows the government plans to ban all,Leaked memo supposedly shows the government plans to ban all forms of paper currency within the next thirty days.,FAKE
6,An unverified chain message claims a well-known company is p,An unverified chain message claims a well-known company is putting mind-control chemicals into bottled water supplies.,FAKE
7,The school board approved a revised curriculum after months ,The school board approved a revised curriculum after months of public comment sessions with parents and teachers.,REAL
8,Meteorologists said the storm system is expected to weaken a,"Meteorologists said the storm system is expected to weaken as it moves inland, reducing the risk of flooding in low-lying areas.",REAL
9,Anonymous forum users claim the entire internet will be shut,Anonymous forum users claim the entire internet will be shut down permanently next month by a secret world council.,FAKE
10,Scientists have discovered that drinking this one common hou,Scientists have discovered that drinking this one common household liquid instantly cures every known disease overnight.,FAKE
11,A widely shared image claims to show aliens landing at a maj,A widely shared image claims to show aliens landing at a major stadium during a nationally televised sports event.,FAKE
12,Shocking report reveals that vaccines contain microchips des,Shocking report reveals that vaccines contain microchips designed to track every citizen's location at all times.,FAKE
13,A panel of scientists reviewed the latest climate data and r,A panel of scientists reviewed the latest climate data and reaffirmed prior projections with minor adjustments.,REAL
14,Court records show the case was postponed after both legal t,Court records show the case was postponed after both legal teams requested additional time to review new evidence.,REAL
15,Online rumors suggest a famous tech billionaire has cloned h,Online rumors suggest a famous tech billionaire has cloned himself multiple times to run several companies at once.,FAKE
16,A fabricated report claims one small town discovered a fount,A fabricated report claims one small town discovered a fountain of youth that reverses aging within days.,FAKE
17,Unnamed sources insist a celebrity faked their own death to ,Unnamed sources insist a celebrity faked their own death to avoid paying taxes and is now living secretly on an island.,FAKE
18,The agriculture department reported average crop yields this,"The agriculture department reported average crop yields this season, consistent with the five-year regional average.",REAL
19,Anonymous insider claims the moon landing footage was staged,Anonymous insider claims the moon landing footage was staged in a desert studio using actors paid in gold bars.,FAKE
20,Secret documents allegedly prove that world leaders are cont,Secret documents allegedly prove that world leaders are controlled by a hidden group that manipulates all global elections.,FAKE
21,A sensational headline states that eating chocolate every ho,A sensational headline states that eating chocolate every hour guarantees you will never age past thirty five.,FAKE
22,An unverified article claims a well-known airline secretly f,An unverified article claims a well-known airline secretly flies passengers to a hidden underground city.,FAKE
23,Rumors spreading online insist that a new law will require e,Rumors spreading online insist that a new law will require every citizen to surrender their pets to the government.,FAKE
24,The airport authority announced expanded security screening ,The airport authority announced expanded security screening procedures ahead of the upcoming holiday travel season.,REAL
25,Officials confirmed that the bridge closure will last approx,Officials confirmed that the bridge closure will last approximately two weeks while repair crews complete safety inspections.,REAL
26,Conspiracy blogs claim a recent solar eclipse was artificial,Conspiracy blogs claim a recent solar eclipse was artificially created using satellites to hide alien activity.,FAKE
27,A viral video caption falsely claims a natural disaster was ,A viral video caption falsely claims a natural disaster was created intentionally using a hidden weather weapon.,FAKE
28,Researchers at the state university published a peer-reviewe,Researchers at the state university published a peer-reviewed study showing a modest decline in regional unemployment over the past quarter.,REAL
29,The central bank announced a quarter-point interest rate inc,"The central bank announced a quarter-point interest rate increase on Wednesday, citing persistent inflation pressures across the economy.",REAL
30,A hoax article states that a new government policy will make,A hoax article states that a new government policy will make it illegal to grow vegetables in home gardens.,FAKE
31,Bloggers allege that a popular soda brand is secretly owned ,Bloggers allege that a popular soda brand is secretly owned by a shadowy organization plotting world domination.,FAKE
32,The hospital reported that vaccination rates among school-ag,The hospital reported that vaccination rates among school-age children have risen steadily since the start of the public health campaign.,REAL
33,A government audit found that the agency's budget was largel,A government audit found that the agency's budget was largely in compliance with federal spending guidelines for the fiscal year.,REAL
34,Officials from the transportation department outlined a mult,Officials from the transportation department outlined a multi-year plan to repair aging bridges across the region.,REAL
35,Public health experts recommend regular handwashing and vacc,Public health experts recommend regular handwashing and vaccination as effective ways to reduce seasonal flu transmission.,REAL
36,The state legislature passed a bill increasing funding for r,The state legislature passed a bill increasing funding for rural broadband infrastructure by a modest percentage.,REAL
37,The central statistics office revised last quarter's GDP gro,The central statistics office revised last quarter's GDP growth figure slightly upward based on updated trade data.,REAL
38,Local election officials confirmed that ballot counting proc,"Local election officials confirmed that ballot counting proceeded on schedule, with results expected to be certified by the end of the week.",REAL
39,The company's quarterly earnings report showed revenue growt,"The company's quarterly earnings report showed revenue growth in line with analyst expectations, driven by overseas sales.",REAL
